COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,
TRINIDAD AND TOBAGO,540,788,1122,1190,1325,1221,1308,1512,1296,1616,1459,1620,1992,2149,2175,2429,2306,2340,2978,2859,2889,2978,3074,3478,3852,
TUNISIA,2124,4155,2395,4015,3725,3744,2825,2181,2220,2528,2414,2400,2985,2683,1070,1297,1317,1144,1277,1392,1404,1449,1483,1748,1923,
TURKEY,1458,1312,1290,1284,1255,1280,1153,1031,1193,1578,1476,1773,1875,1879,2475,2727,2944,2758,2851,2727,2847,2754,3189,3698,3957,
U.S. - ALABAMA,3554,3486,3572,3708,3935,3995,4254,3826,3595,3949,3711,3811,4194,4346,4353,4830,4895,4641,5538,5736,5958,5874,6438,7098,8124,
U.S. - ALASKA,1915,1806,1824,1877,1907,1999,2076,2047,2237,2426,2693,2936,3153,3127,3422,3656,4042,3838,4518,4830,4934,4794,5225,5660,6479,
U.S. - ARIZONA,3592,3613,3487,3656,3622,3505,4183,3583,3705,3994,4204,3775,4229,4276,4336,5149,5294,5040,5877,5994,6153,6327,7003,7556,8979,
U.S. - ARKANSAS,2114,2035,2157,2505,2761,2631,2684,2460,2444,2610,2704,2885,2896,2964,3047,3334,3443,3175,3629,3896,3736,3764,4302,4544,6400,
U.S. - CALIFORNIA,4252,4394,4447,4615,4914,4845,4986,4830,4958,4976,5351,5218,5801,5905,6296,6770,7068,6666,7243,7620,7903,8124,8837,8851,10441,
U.S. - COLORADO,3151,3216,3309,3401,3585,3936,3961,3909,3849,3786,4011,3920,4487,4380,4550,5206,5300,5191,6122,6953,7062,7172,7594,7774,9405,
U.S. - CONNECTICUT,4878,4938,5206,5446,5901,5556,5483,5451,5685,5577,5415,5143,5523,5496,5883,6482,7421,7056,8384,8701,9103,9232,9979,9987,11072,
U.S. - DELAWARE,6233,7082,7061,7589,7451,7358,7290,6449,7079,7581,7610,7260,7189,7275,7514,8109,8545,8199,10179,12059,10883,10559,11125,10795,12726,
U.S. - DISTRICT OF COLUMBIA,4414,4446,4523,4775,5182,5027,5728,5638,5714,6028,5889,5385,5929,6215,6726,7443,7170,7463,8890,9721,10779,10232,11377,11394,13471,
U.S. - FLORIDA,3398,3427,3691,3833,4224,4210,4237,4188,4155,4325,4144,4210,4568,4831,5054,5324,5809,5526,6509,6702,6991,7042,7494,7974,9565,
U.S. - GEORGIA,3351,3412,3508,3805,4107,4095,4213,3969,4000,4122,4027,4100,4407,4532,4756,5210,5328,5096,6120,6186,6579,6852,7530,7978,9141,
U.S. - HAWAII,3024,2822,2822,2952,3320,3246,4112,4564,4718,5001,4764,4850,5275,5119,4865,5775,5360,4754,5418,5769,5713,5794,6342,6363,7792,
U.S. - IDAHO,2911,2637,2569,2877,3260,2984,3433,2924,3014,2865,3271,3103,3897,3704,3724,4124,4093,3877,4347,4477,4731,4550,4843,5650,7070,
U.S. - ILLINOIS,3974,3744,3797,3777,4148,4009,4067,4217,4172,4370,4267,4361,4757,4637,4753,5627,5846,5574,6756,7077,7369,7713,7869,8151,9681,
U.S. - INDIANA,4875,4715,4623,4353,4726,4841,5056,5046,5045,5514,5241,5175,5541,5585,5811,6377,6842,6299,7514,7710,8018,8188,8792,8717,10075,
U.S. - IOWA,3273,3197,3055,3028,3514,3859,4243,4025,4060,4111,4140,3736,4194,4188,4242,4878,4884,4453,5223,5858,6216,6049,6588,6978,8293,
U.S. - KANSAS,3123,3154,2988,3142,3280,3051,3327,3189,3192,3203,3144,3020,2686,2026,2086,2223,2484,2903,4956,4989,5293,5400,5665,6178,7988,
U.S. - KENTUCKY,3439,3471,3403,3364,3609,3472,3720,3612,3550,3360,3262,3448,3558,3657,3719,3991,3900,3612,4401,4381,4197,5333,5942,6516,7115,
U.S. - LOUISIANA,3055,2986,2922,3057,3312,3311,3419,3061,3137,3451,3572,3584,3677,3668,3890,4228,4278,4109,4527,4636,4951,5078,5604,5865,7548,
U.S. - MAINE,3611,3762,3936,4415,4858,5024,5287,5033,4969,4927,4707,4734,5290,5409,5582,5785,5718,5478,6573,6613,6836,6887,7278,7092,8444,
U.S. - MARYLAND,4361,4595,4645,5021,5402,5214,5334,5473,5121,5496,5390,5069,5191,5199,5524,6367,6497,6497,8072,8654,8830,9338,10265,10628,12038,
U.S. - MASSACHUSETTS,4463,4485,4674,4935,5620,5632,5817,5721,5899,5824,5987,5537,6035,6106,6267,6550,7446,7180,8213,8809,9119,9295,10691,11180,13166,
U.S. - MICHIGAN,4430,4082,4159,4329,4658,4459,4448,4648,4626,4737,4726,4655,5397,5289,5510,5975,6128,5803,6730,7091,7281,7655,8290,8875,10486,
U.S. - MINNESOTA,3673,3561,3425,3524,4006,3841,4004,4206,4167,4305,4371,4408,5304,4983,5101,5636,5711,5523,6045,6741,7477,7666,7992,8367,10092,
U.S. - MISSISSIPPI,2821,2840,2833,3095,3546,3386,3438,3756,3521,3803,3620,3507,3747,3612,3997,4363,4389,4312,4869,5185,5418,5283,5660,5876,7019,
U.S. - MISSOURI,3005,2834,2797,3129,3418,3325,3508,3513,3334,3681,3726,3763,3669,3755,3945,4461,4559,4530,5311,5486,5923,6223,6650,7399,8521,
U.S. - MONTANA,3030,2903,2924,3015,3200,3227,3394,3296,3038,3170,3394,3348,3629,3729,3839,4061,4167,3976,5068,5278,5629,5451,5833,6161,7027,
