Fips,Year,Area,GDP,GDPGrowth,Size.of.Metro.Area,Personal.Income,Num.Of.Jobs,Job.Growth,TYPE,land_area,population,households,dem_inc_median,dem_inc_less25,dem_inc_25to50,dem_inc_50to100,dem_inc_100to200,dem_inc_greater200,opticalfiber,advdl_gr1gig
37340,2012,"Palm Bay-Melbourne-Titusville, FL (MSA)",30461,-0.76,66.79,39770,202618,0.08,POP,1547.628231,561534,277708,53732.4664,0.2308,0.3394,0.3168,0.1449,0.0297,0.4282,0.3984
37340,2012,"Palm Bay-Melbourne-Titusville, FL (MSA)",30461,-0.76,66.79,39770,202618,0.08,HU,1547.628231,561534,277708,53732.4664,0.2308,0.3394,0.3168,0.1449,0.0297,0.434,0.4039
29940,2012,"Lawrence, KS (MSA)",27740,-1.25,60.83,36331,52253,-0.02,POP,434.0250819,113596,47660,51084.5413,0.2848,0.3068,0.2948,0.1445,0.03,0.0159,0.0012
29940,2012,"Lawrence, KS (MSA)",27740,-1.25,60.83,36331,52253,-0.02,HU,434.0250819,113596,47660,51084.5413,0.2848,0.3068,0.2948,0.1445,0.03,0.0163,0.0016
35840,2012,"North Port-Sarasota-Bradenton, FL (MSA)",29324,-0.78,64.3,49697,261474,2.82,POP,1606.388723,726092,416056,55139.4393,0.2296,0.3371,0.3039,0.1444,0.0442,0.7476,0.0036
35840,2012,"North Port-Sarasota-Bradenton, FL (MSA)",29324,-0.78,64.3,49697,261474,2.82,HU,1606.388723,726092,416056,55139.4393,0.2296,0.3371,0.3039,0.1444,0.0442,0.7286,0.0033
30140,2012,"Lebanon, PA (MSA)",25575,1,56.08,41268,53212,2.63,POP,328.6034496,136615,57563,54656.7692,0.1978,0.3218,0.3696,0.1443,0.0199,0.363,0.0038
30140,2012,"Lebanon, PA (MSA)",25575,1,56.08,41268,53212,2.63,HU,328.6034496,136615,57563,54656.7692,0.1978,0.3218,0.3696,0.1443,0.0199,0.3522,0.0042
13900,2011,"Bismarck, ND (MSA)",39778,1.69,88.61,42999,69171,2.46,POP,3506.910569,110835,48784,52754.3016,0.2805,0.315,0.3273,0.064,0.0132,0.0621,0
13980,2011,"Blacksburg-Christiansburg-Radford, VA (MSA)",26883,4.41,59.89,30023,71081,1.8,POP,1035.483527,163933,70957,40382.3575,0.3878,0.3019,0.249,0.0495,0.0118,0.002,0.002
14060,2011,"Bloomington, IL (MSA)",46807,-1.03,104.27,42452,100584,0.74,POP,1087.395663,170621,70002,59723.5278,0.2319,0.2625,0.3472,0.1356,0.0228,0,0
14020,2011,"Bloomington, IN (MSA)",32221,-0.5,71.78,31584,76627,0.21,POP,1252.084011,193572,84668,41762.7894,0.3607,0.3017,0.2612,0.0652,0.0112,0.1947,0.1123
14260,2011,"Boise City, ID (MSA)",39370,-1.12,87.7,34537,267931,1.26,POP,11530.43461,634057,252994,51940.5156,0.2519,0.3257,0.3226,0.0836,0.0162,0.0829,0.0323
14460,2011,"Boston-Cambridge-Newton, MA-NH (MSA)",62800,1.11,139.9,58561,2520770,1.36,POP,4128.260812,4565764,1887093,72829.3221,0.2191,0.2355,0.3389,0.1644,0.042,0.4642,0.0012
14500,2011,"Boulder, CO (MSA)",59323,2.29,132.15,51554,169746,2.61,POP,700.3207668,296953,128045,68260.0915,0.192,0.2419,0.3468,0.1791,0.0403,0.0117,0.0117
38340,2012,"Pittsfield, MA (MSA)",35150,-0.59,77.08,46930,65084,1.29,POP,889.7509744,129803,68713,51982.6284,0.252,0.2994,0.3267,0.1426,0.0336,0,0
14540,2011,"Bowling Green, KY (MSA)",28335,0.29,63.12,31320,69056,1.84,POP,819.3453641,128432,54667,44919.3087,0.3575,0.2971,0.2726,0.0579,0.0149,0.4627,0
