COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
TURKEY,0.05,0.10,0.35,0.37,0.51,0.34,0.32,0.28,0.29,0.33,0.35,0.41,0.52,0.35,0.63,0.63,0.66,0.40,0.43,0.46,0.55,0.54,1.10,1.40,1.73
U.S. - ALABAMA,3.21,2.75,2.66,2.31,2.92,2.97,4.43,4.20,2.77,3.45,2.68,2.84,4.09,4.40,3.93,5.77,5.80,4.74,8.75,9.38,10.48,10.11,13.87,16.94,26.39
U.S. - ALASKA,0.65,0.40,0.21,0.16,0.14,0.09,0.30,0.31,0.52,0.58,1.24,1.83,1.98,2.01,2.71,3.42,5.42,4.63,7.39,8.87,7.87,6.73,10.04,11.80,18.24
U.S. - ARIZONA,1.79,1.46,1.06,1.47,1.61,1.38,3.41,2.06,2.41,3.32,4.23,2.93,4.61,4.68,4.14,6.00,6.70,6.14,9.51,10.81,11.54,12.06,14.06,17.18,30.59
U.S. - ARKANSAS,0.95,0.77,1.19,1.14,1.18,1.04,1.32,1.16,0.99,1.11,1.22,1.45,1.51,1.53,1.57,1.83,2.01,1.75,2.68,2.99,3.28,3.38,4.17,4.13,13.34
U.S. - CALIFORNIA,5.10,5.17,5.46,5.82,6.38,6.01,7.91,6.69,7.23,7.72,8.53,7.68,10.08,10.80,11.21,12.20,14.21,13.39,15.86,18.37,20.04,21.17,24.83,23.16,34.11
U.S. - COLORADO,2.38,2.44,2.58,2.78,2.86,4.18,3.79,3.70,3.62,3.61,4.73,4.32,5.94,5.43,5.22,6.48,6.61,7.51,12.32,18.35,18.91,19.38,20.07,18.93,30.48
U.S. - CONNECTICUT,6.53,5.80,7.33,9.04,11.18,8.21,9.12,7.74,7.86,7.39,7.46,6.40,7.70,7.35,7.54,7.76,13.12,13.38,21.55,23.51,26.29,26.87,32.96,32.28,41.89
U.S. - DELAWARE,8.58,12.33,11.61,14.70,14.19,13.50,13.79,8.89,11.86,14.02,14.80,11.94,11.74,11.91,12.71,15.31,18.23,16.29,32.58,38.77,32.34,31.72,37.27,35.74,49.82
U.S. - DISTRICT OF COLUMBIA,8.30,8.09,8.60,9.50,10.78,9.06,12.99,12.35,11.67,13.35,12.45,9.87,11.77,12.44,14.22,16.71,14.50,17.87,27.11,31.84,34.45,33.33,41.90,40.09,42.37
U.S. - FLORIDA,1.89,1.68,1.68,1.63,2.42,2.35,2.67,3.04,2.78,3.15,3.23,3.32,4.55,5.11,5.24,5.70,8.18,7.56,13.29,14.28,15.40,16.12,18.71,21.87,35.77
U.S. - GEORGIA,2.35,2.45,2.82,3.85,4.75,4.18,4.83,4.15,3.92,4.40,3.98,4.27,5.46,5.61,6.20,7.45,8.06,7.09,11.87,12.62,13.99,15.62,19.11,21.40,29.84
U.S. - HAWAII,1.37,0.35,0.56,0.90,2.33,1.95,2.66,2.99,3.77,4.47,5.03,4.14,5.38,4.78,4.38,5.31,4.97,4.21,5.61,6.55,6.83,7.64,8.06,7.03,13.89
U.S. - IDAHO,4.58,3.76,3.54,4.25,5.03,3.93,5.11,3.84,4.31,2.91,4.82,4.28,6.57,5.72,5.72,6.16,5.25,4.84,5.88,5.95,7.58,6.80,6.36,6.57,14.14
U.S. - ILLINOIS,4.99,3.56,3.29,3.38,4.25,3.46,4.08,4.08,3.90,4.67,4.42,4.75,6.18,5.39,5.44,8.25,9.60,9.55,15.73,17.13,18.44,20.30,21.61,22.36,32.95
U.S. - INDIANA,7.26,5.72,4.94,4.57,5.04,5.25,6.27,6.02,6.45,7.92,7.57,6.82,8.26,8.07,8.95,10.08,13.13,12.29,18.72,18.94,20.23,21.91,24.74,23.78,33.43
U.S. - IOWA,5.50,5.21,5.28,5.06,5.80,5.25,5.78,5.20,5.43,5.14,5.66,4.16,5.28,5.18,5.40,5.53,6.04,5.35,8.65,9.25,9.92,10.17,11.15,10.29,19.89
U.S. - KANSAS,0.60,0.41,0.27,0.90,1.40,1.20,2.09,1.43,1.91,2.22,2.09,2.12,2.28,1.17,1.38,1.74,2.22,2.81,6.90,6.82,7.26,7.86,8.11,8.36,23.63
U.S. - KENTUCKY,2.54,2.25,1.89,3.47,3.86,2.88,4.95,4.54,4.34,3.37,2.94,3.93,3.99,4.70,4.34,5.02,4.02,3.22,6.02,5.96,5.35,7.04,10.19,11.07,18.69
